day supply, 7, 1980
girl, 7, 1980
Green Giant, 7, 1980
happy, 7, 1980
incredible, 7, 1980
Karsi, 7, 1980
Mail, 7, 1980
Morgana Candle, 7, 1980
play, 7, 1980
Polly, 7, 1980
SAVE, 7, 1980
thing, 7, 1980
Visa, 7, 1980
wear, 7, 1980
woman, 7, 1980
ABC CBS NBC, 8, 1980
Address, 8, 1980
bull, 8, 1980
Check, 8, 1980
City, 8, 1980
doctors, 8, 1980
dollars, 8, 1980
drug, 8, 1980
feet, 8, 1980
fish, 8, 1980
going, 8, 1980
Kathy, 8, 1980
keep, 8, 1980
MAYA CROSS, 8, 1980
million, 8, 1980
money order, 8, 1980
Movie, 8, 1980
mystery, 8, 1980
never, 8, 1980
NO-RISK, 8, 1980
Olympics, 8, 1980
postage & handling, 8, 1980
rush, 8, 1980
sales tax, 8, 1980
Vicky, 8, 1980
Vitamin, 8, 1980
wonder, 8, 1980
young, 8, 1980
LUCK-KEY, 0, 1980
WEEKLY WORLD, 0, 1980
Charlie's Angels, 2, 1980
movie, 2, 1980
Ryan's Hope, 2, 1980
Aileen Quinn, 3, 1980
cattle mutilations, 3, 1980
Donald Sutherland, 3, 1980
Dorsay, 3, 1980
Gil Gerard, 3, 1980
Linda Kelsey, 3, 1980
Lou Grant, 3, 1980
Norma Jean, 3, 1980
prostate, 3, 1980
Trimline, 3, 1980
WORLD NEWS February, 3, 1980
arthritis, 4, 1980
Cross of Antron, 4, 1980
DICK DONOVAN, 4, 1980
Faye Dunaway, 4, 1980
says, 4, 1980
VITAMIN, 4, 1980
week, 4, 1980
amazing, 5, 1980
Capsules, 5, 1980
glands, 5, 1980
MORFOGEN, 5, 1980
skin, 5, 1980
star, 5, 1980
told, 5, 1980
ZN Mega-Mineral Tea, 5, 1980
baby, 6, 1980
beautiful, 6, 1980
Dept, 6, 1980
guaranteed, 6, 1980
incredible, 6, 1980
kids, 6, 1980
30 days, 7, 1980
Address City, 7, 1980
ADVERTISEMENT ADVERTISEMENT, 7, 1980
Angeles, 7, 1980
Bogey, 7, 1980
film, 7, 1980
heart, 7, 1980
Jill, 7, 1980
look, 7, 1980
Marilyn, 7, 1980
money order, 7, 1980
mother, 7, 1980
N207 Expires, 7, 1980
SHAPER, 7, 1980
Stifal, 7, 1980
TABLETS, 7, 1980
woman, 7, 1980
actress, 8, 1980
antenna, 8, 1980
Bobbie, 8, 1980
body, 8, 1980
called, 8, 1980
cancer, 8, 1980
death, 8, 1980
frogs, 8, 1980
glasses, 8, 1980
growing, 8, 1980
happy, 8, 1980
Lazy Man's, 8, 1980
Linda, 8, 1980
luck, 8, 1980
married, 8, 1980
money back, 8, 1980
months, 8, 1980
Name, 8, 1980
pain, 8, 1980
pair, 8, 1980
prostate problems, 8, 1980
rush, 8, 1980
sales tax, 8, 1980
Tewksbury, 8, 1980
thing, 8, 1980
tion, 8, 1980
turned, 8, 1980
wear, 8, 1980
wife, 8, 1980
young, 8, 1980
WEEKLY WORLD, 0, 1980
says, 1, 1980
WORLD NEWS February, 1, 1980
February 17, 2, 1980
Carson City, 3, 1980
DICK DONOVAN, 3, 1980
Dick Van Patten, 3, 1980
electroplated, 3, 1980
Farrah Fawcett, 3, 1980
JOHN LENNON, 3, 1980
Melissa Gilbert, 3, 1980
amazing, 4, 1980
Arthur Godfrey, 4, 1980
baby, 4, 1980
Barbara Mandrell, 4, 1980
beautiful, 4, 1980
Crested Butte, 4, 1980
Cross of Antron, 4, 1980
Dermacure, 4, 1980
Dolly Parton, 4, 1980
Erma Bombeck, 4, 1980
Jackpot Day, 4, 1980
prostate, 4, 1980
City Silver Dollar, 5, 1980
coin, 5, 1980
Davy, 5, 1980
Dept, 5, 1980
look, 5, 1980
postage & handling, 5, 1980
told, 5, 1980
week, 5, 1980
ZN Mega-Mineral Tea, 5, 1980
Carson City Silver, 6, 1980
COUPON TODAY, 6, 1980
drugs, 6, 1980
Duraclean, 6, 1980
John, 6, 1980
kids, 6, 1980
Master Charge, 6, 1980
Melissa, 6, 1980
money back, 6, 1980
P.O. Box, 6, 1980
postage and handling, 6, 1980
snow, 6, 1980
woman, 6, 1980
Z-II, 6, 1980
ADVERTISEMENT ADVERTISEMENT, 7, 1980
BLUE MAJESTY, 7, 1980
disease, 7, 1980
friends, 7, 1980
give, 7, 1980
gorilla, 7, 1980
happy, 7, 1980
miniature, 7, 1980
night, 7, 1980
prostate problems, 7, 1980
SAVE, 7, 1980
Strawberry Tower, 7, 1980
thing, 7, 1980
tion, 7, 1980
wear, 7, 1980
wife, 7, 1980
animals, 8, 1980
body, 8, 1980
called, 8, 1980
Certificate of Authenticity, 8, 1980
child, 8, 1980
enclose, 8, 1980
Featherspring, 8, 1980
girl, 8, 1980
guarantee, 8, 1980
hair, 8, 1980
incredible, 8, 1980
MAYA CROSS, 8, 1980
money order, 8, 1980
movie, 8, 1980
Nutritional Life Corp, 8, 1980
personal Biorhythm Analysis, 8, 1980
Popeye, 8, 1980
skin, 8, 1980
tennis, 8, 1980
says, 0, 1980
WEEKLY WORLD, 0, 1980
hair, 2, 1980
Ted Knight, 2, 1980
Andy Gibb, 3, 1980
Barbara Eden, 3, 1980
Diff'rent Strokes, 3, 1980
February 24, 3, 1980
Frank Sinatra, 3, 1980
Judy Garland, 3, 1980
postage & handling, 3, 1980
Wayne Rogers, 3, 1980
WORLD NEWS February, 3, 1980
ADVERTISEMENT ADVERTISEMENT, 4, 1980
amazing, 4, 1980
Brownie Mary, 4, 1980
Kenny Rogers, 4, 1980
kids, 4, 1980
Peter Falk, 4, 1980
QUICK SLIMS, 4, 1980
Sherry Lansing, 4, 1980
week, 4, 1980
WILD HORSE MESA, 4, 1980
woman, 4, 1980
doctors, 5, 1980
full refund, 5, 1980
Margo, 5, 1980
night, 5, 1980
ZN Mega-Mineral Tea, 5, 1980
Dept, 6, 1980
diamond, 6, 1980
inches, 6, 1980
Judy, 6, 1980
look, 6, 1980
skin, 6, 1980
star, 6, 1980
told, 6, 1980
14 days, 7, 1980
awards, 7, 1980
Balsam, 7, 1980
beautiful, 7, 1980
COUPON TODAY, 7, 1980
cured, 7, 1980
enclose, 7, 1980
eyes, 7, 1980
feel, 7, 1980
film, 7, 1980
gold, 7, 1980
GUARANTEE, 7, 1980
happy, 7, 1980
incredible, 7, 1980
ment, 7, 1980
Movie, 7, 1980
P.O. Box, 7, 1980
police, 7, 1980
pounds, 7, 1980
secret, 7, 1980
SUPER SAW, 7, 1980
things, 7, 1980
wife, 7, 1980
Anton, 8, 1980
baby, 8, 1980
body, 8, 1980
coins, 8, 1980
diet, 8, 1980
drugs, 8, 1980
friends, 8, 1980
Hoff, 8, 1980
Janet, 8, 1980
jewelry, 8, 1980
MacArthur, 8, 1980
Mary, 8, 1980
method, 8, 1980
no-risk, 8, 1980
Nutritional Life Corp, 8, 1980
pain, 8, 1980
prostate problems, 8, 1980
recruiting, 8, 1980
refund except postage, 8, 1980
rush, 8, 1980
Wayne, 8, 1980
WESTPORT HOME PRODUCTS, 8, 1980
young, 8, 1980
WEEKLY WORLD, 0, 1980
says, 1, 1980
beautiful, 2, 1980
Charlie's Angels, 2, 1980
Loni, 2, 1980
Loni Anderson, 2, 1980
QUICK SLIMS, 2, 1980
skin, 2, 1980
Three's Company, 2, 1980
30 days, 3, 1980
amazing, 3, 1980
Binoculars, 3, 1980
Brady Bunch, 3, 1980
Burt Reynolds, 3, 1980
coupon, 3, 1980
Dept, 3, 1980
Dermacure, 3, 1980
DICK DONOVAN, 3, 1980
Dorsay, 3, 1980
Grimoire, 3, 1980
Jack Graham, 3, 1980
Jaclyn Smith, 3, 1980
Kate Jackson, 3, 1980
look, 3, 1980
postage and handling, 3, 1980
Room For Daddy, 3, 1980
WKRP in Cincinnati, 3, 1980
GUARANTEE, 4, 1980
money back, 4, 1980
postage & handling, 4, 1980
SAVE, 4, 1980
told, 4, 1980
enclosed, 5, 1980
FREE, 5, 1980
inches, 5, 1980
incredible, 5, 1980
live, 5, 1980
Movie, 5, 1980
pounds, 5, 1980
week, 5, 1980
WORLD NEWS March, 5, 1980
day supply, 6, 1980
full refund, 6, 1980
